time,FL1,FL6,TL14s1,TA21s1
37.5273,230.1709,246.1203,443.797,581.8686
37.6273,230.0966,246.1443,443.8027,581.8696
37.7273,230.0224,246.1682,443.8084,581.8707
37.8273,229.9481,246.1922,443.814,581.8717
37.9273,229.8738,246.2162,443.8197,581.8727
38.0273,229.7995,246.2401,443.8253,581.8736
38.1273,229.7251,246.2641,443.831,581.8746
38.2273,229.6508,246.2881,443.8367,581.8755
38.3273,229.5764,246.3121,443.8423,581.8764
38.4273,229.502,246.3361,443.848,581.8773
38.5273,229.4276,246.3601,443.8537,581.8782
38.6273,229.3532,246.3842,443.8593,581.879
38.7273,229.2787,246.4082,443.8649,581.8798
38.8273,229.2043,246.4322,443.8706,581.8806
38.9273,229.1292,246.4578,443.8762,581.8814
39.0273,229.0536,246.4849,443.8819,581.8821
39.1273,228.9777,246.5126,443.8875,581.8827
39.2273,228.9015,246.5406,443.8932,581.8833
39.3273,228.8254,246.5688,443.8988,581.8837
39.4273,228.7493,246.5969,443.9045,581.884
39.5273,228.6732,246.6251,443.9101,581.8843
39.6273,228.5971,246.6532,443.9157,581.8846
39.7273,228.521,246.6812,443.9213,581.8848
39.8273,228.445,246.7092,443.9269,581.885
39.9273,228.3689,246.7371,443.9325,581.8852
40.0273,228.2929,246.765,443.9381,581.8854
40.1273,228.2169,246.7929,443.9436,581.8856
40.2273,228.1408,246.8206,443.9492,581.8856
40.3273,228.0648,246.8484,443.9547,581.8856
40.4273,227.9887,246.8761,443.9603,581.8855
40.5273,227.9127,246.9038,443.9658,581.8854
40.6273,227.8367,246.9315,443.9713,581.8852
40.7273,227.7606,246.9591,443.9768,581.8851
40.8273,227.6845,246.9867,443.9823,581.8849
40.9273,227.6085,247.0143,443.9878,581.8847
41.0273,227.5324,247.0419,443.9933,581.8845
41.1273,227.4563,247.0695,443.9988,581.8843
41.2273,227.3802,247.0971,444.0043,581.884
41.3273,227.304,247.1247,444.0097,581.8837
41.4273,227.2279,247.1522,444.0152,581.8835
41.5273,227.1517,247.1798,444.0207,581.8831
41.6273,227.0755,247.2073,444.0261,581.8829
41.7273,226.9993,247.2348,444.0315,581.8825
41.8273,226.9231,247.2623,444.037,581.8822
41.9273,226.8469,247.2899,444.0424,581.8818
42.0273,226.7707,247.3174,444.0478,581.8814
42.1273,226.6944,247.345,444.0532,581.881
42.2273,226.6181,247.3725,444.0586,581.8806
42.3273,226.5418,247.4,444.064,581.8802
42.4273,226.4654,247.4275,444.0694,581.8797
42.5273,226.3891,247.455,444.0748,581.8793
42.6273,226.3127,247.4825,444.0802,581.8787
42.7273,226.2364,247.5101,444.0855,581.8783
42.8273,226.16,247.5376,444.0909,581.8777
42.9273,226.0836,247.5651,444.0963,581.8772
43.0273,226.0071,247.5927,444.1016,581.8766
43.1273,225.9306,247.6202,444.107,581.8761
43.2273,225.8542,247.6477,444.1123,581.8755
